artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
"""Cats"" 1981 Original London Cast",0.5750833333333334,0.44275,247260.0,0.3863358333333334,0.022717396666666667,0.2877083333333333,-14.205416666666665,0.18067500000000009,115.9835,0.3344333333333333,38.0,5,1,12,['show tunes']
"""Cats"" 1983 Broadway Cast",0.8625384615384614,0.4417307692307693,287280.0,0.4068076923076924,0.08115826423076923,0.31521538461538456,-10.69,0.17621153846153847,103.04415384615385,0.2688653846153846,33.07692307692308,5,1,26,[]
"""Fiddler On The Roof” Motion Picture Chorus",0.8565714285714285,0.34828571428571425,328920.0,0.2865714285714285,0.024592948571428568,0.3257857142857143,-15.230714285714285,0.1185142857142857,77.37585714285714,0.3548571428571429,34.285714285714285,0,1,7,[]
"""Fiddler On The Roof” Motion Picture Orchestra",0.884925925925926,0.4250740740740739,262890.96296296304,0.2457703703703704,0.07358727925925927,0.2754814814814815,-15.639370370370367,0.12320000000000005,88.66762962962964,0.3720296296296296,34.44444444444444,0,1,27,[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.6054444444444445,0.4373333333333334,232428.1111111111,0.4293333333333333,0.03753356,0.21611111111111114,-11.447222222222221,0.08600000000000002,120.32966666666664,0.4586666666666666,42.55555555555557,11,1,9,[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.6095555555555555,0.4872777777777777,205091.9444444445,0.30990555555555555,0.004695656666666668,0.2747666666666666,-18.266388888888887,0.09802222222222222,118.64894444444441,0.4415555555555557,34.166666666666664,5,1,36,[]
"""Mama"" Helen Teagarden",0.725,0.637,135533.0,0.512,0.18600000000000005,0.426,-20.615,0.21,134.819,0.885,0.0,8,1,2,[]
"""Mista Dj Paul",0.0069,0.8490000000000001,123040.0,0.48700000000000004,0.46399999999999997,0.146,-9.664,0.35100000000000003,170.981,0.499,36.0,4,0,1,[]
"""Test for Victor Young""",0.927,0.7340000000000001,175693.0,0.474,0.0762,0.737,-10.544,0.256,132.78799999999998,0.902,2.0,10,1,2,[]
"""Weird Al"" Yankovic",0.17693409090909093,0.664787878787879,218165.25757575766,0.6851363636363638,4.631757575757574e-05,0.16213939393939394,-9.877909090909096,0.08239242424242428,132.49509090909086,0.7544090909090906,33.68181818181818,9,1,132,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
$IMEON,0.2423,0.8066666666666666,66307.33333333331,0.469,1.3933333333333333e-06,0.2043333333333333,-12.168,0.4826666666666666,106.02000000000002,0.5920000000000001,62.66666666666666,6,0,6,[]
$NOT,0.5469999999999999,0.7501249999999999,152929.5,0.51975,0.0431371375,0.21397500000000005,-8.8785,0.276725,114.229125,0.3195,64.625,6,1,8,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
$pyda,0.000122,0.514,331240.0,0.899,0.0793,0.3670000000000001,-5.115,0.0602,174.028,0.266,58.0,7,1,1,[]
$uicideBoy$,0.12812262295081964,0.7652459016393444,147549.44262295082,0.6417049180327874,0.038454471147541004,0.2011950819672132,-6.626918032786888,0.15591721311475404,119.80436065573772,0.29609590163934424,61.64754098360656,1,1,122,"['dark trap', 'new orleans rap', 'underground hip hop']"
'Be More Chill' Ensemble,0.764,0.4970000000000001,164400.0,0.474,0.000223,0.45299999999999996,-7.279,0.044000000000000004,133.934,0.493,52.0,3,1,1,[]
'In The Heights' Original Broadway Company,0.6365882352941177,0.541,301908.29411764705,0.4022823529411765,7.74823529411765e-06,0.1938235294117647,-9.405882352941175,0.1500058823529412,114.95252941176471,0.407764705882353,46.58823529411765,7,1,17,"['broadway', 'show tunes']"
'Legally Blonde' Ensemble,0.6010833333333333,0.6135833333333333,291892.16666666674,0.4115,1.964666666666667e-05,0.21566666666666667,-11.200333333333333,0.4595833333333333,115.58,0.5031666666666667,48.16666666666666,8,1,12,"['broadway', 'hollywood', 'show tunes']"
'Legally Blonde' Greek Chorus,0.6044999999999999,0.7735000000000001,361780.0,0.3095,0.0,0.2222,-12.669,0.28900000000000003,105.7,0.5965,49.0,10,1,2,['show tunes']
'Little Women' Original Broadway Cast,0.902,0.345,275360.0,0.325,0.00214,0.0721,-7.955,0.0354,90.03,0.168,42.0,1,1,2,[]
'Til Tuesday,0.10555625000000002,0.5571250000000001,255213.5,0.6122499999999998,0.0233002525,0.1275875,-9.638125000000002,0.03215,103.08025,0.532625,35.125,0,1,16,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']"
((( O ))),0.847,0.41,311837.0,0.16899999999999998,0.0032700000000000003,0.11699999999999999,-11.422,0.0485,89.494,0.20800000000000002,66.0,3,1,2,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
(Con La Participación De Eros Ramazzotti),0.282,0.722,287600.0,0.628,0.0,0.125,-5.712999999999999,0.0522,143.922,0.561,43.0,0,1,2,[]
(Con La Participación de Marc Anthony),0.5379999999999999,0.731,361440.0,0.794,2.3899999999999998e-05,0.0736,-4.1819999999999995,0.0408,88.00299999999999,0.873,44.0,5,1,2,[]
(G)I-DLE,0.029966666666666662,0.718,194278.0,0.7643333333333334,9.4e-07,0.16333333333333333,-3.797333333333333,0.0552,129.99200000000002,0.44966666666666666,74.66666666666667,4,0,3,"['k-pop', 'k-pop girl group']"
(Hed) P.E.,0.0116314,0.5892000000000002,253677.4,0.8792,2.026e-06,0.17112000000000002,-5.259799999999999,0.17214000000000002,134.9694,0.4270000000000001,45.8,2,1,10,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
*NSYNC,0.15675753846153845,0.642051282051282,237077.5128205128,0.7193205128205126,0.003624652307692304,0.2174230769230769,-6.0306923076923065,0.06715512820512821,114.68521794871796,0.6151282051282053,45.794871794871796,0,1,78,"['boy band', 'dance pop', 'europop', 'pop']"
+44,0.012816450000000005,0.4515,205250.0,0.8832499999999999,2.4e-06,0.1507,-4.26175,0.07907499999999999,168.37124999999997,0.39125,43.75,2,1,8,[]
-,0.466,0.446,316307.0,0.546,1.5399999999999998e-05,0.193,-7.022,0.045,125.961,0.376,55.0,10,0,2,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']"
...And You Will Know Us by the Trail of Dead,0.008409999999999999,0.255,273624.0,0.858,0.00035499999999999996,0.513,-5.085,0.0694,144.653,0.237,35.0,7,1,2,"['alternative rock', 'dance-punk', 'indie rock', 'lo-fi', 'modern rock', 'post-hardcore']"
...Bender,0.000155,0.542,226000.0,0.894,0.0010400000000000001,0.11599999999999999,-5.025,0.0537,119.12799999999999,0.336,42.0,1,1,2,[]
03 Greedo,0.06932,0.7246,220595.2,0.6938,8e-07,0.16505999999999998,-5.021,0.050739999999999987,93.9078,0.4434,59.2,1,0,5,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
070 Shake,0.3751333333333334,0.68,303688.66666666674,0.637,2.32e-06,0.12426666666666668,-9.293666666666667,0.1089,112.67866666666669,0.3456666666666666,63.0,4,0,3,"['alternative r&b', 'indie r&b', 'new jersey rap']"
10 Ft. Ganja Plant,0.10835,0.7875,256780.0,0.7725,0.8465,0.07735,-4.744,0.07285,142.97299999999996,0.8340000000000001,48.5,2,0,4,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
10 Years,0.0971232375,0.39925,208469.875,0.7516249999999999,0.00020406875,0.1507375,-5.071874999999999,0.0486125,147.91549999999995,0.318875,47.75,6,1,16,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
"10,000 Maniacs",0.1922949999999999,0.5814545454545456,240081.7272727273,0.5603909090909093,0.008825840454545457,0.25349090909090904,-12.977181818181812,0.041177272727272736,118.97309090909096,0.5717727272727272,36.77272727272727,9,1,44,"['dance rock', 'folk', 'lilith', 'new wave pop', 'pop rock']"
100 gecs,0.2515,0.6695,120538.0,0.5660000000000001,0.0,0.377,-7.246,0.138,91.691,0.7689999999999999,63.5,6,1,2,"['art pop', 'escape room', 'hyperpop']"
101 Strings Orchestra,0.6088333333333333,0.25486666666666663,178029.83333333337,0.3733333333333333,0.7838333333333329,0.17266666666666672,-13.427833333333336,0.03983333333333334,96.9241666666667,0.35253333333333337,26.16666666666667,9,1,12,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
1017 Eskimo,0.293,0.8959999999999999,193776.0,0.615,0.0,0.122,-9.326,0.326,140.04,0.89,62.0,6,0,2,[]
10cc,0.2626047619047619,0.5509523809523807,293338.5238095238,0.5470476190476189,0.005951061904761905,0.14787619047619044,-10.779809523809526,0.061561904761904776,118.9217142857143,0.5345714285714285,41.19047619047619,9,1,42,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
11/5,0.27,0.929,182373.0,0.6609999999999999,1.52e-06,0.0879,-6.794,0.171,114.973,0.708,37.0,1,0,2,"['dirty texas rap', 'g funk', 'hyphy', 'west coast trap']"
112,0.1583938181818182,0.666072727272727,274580.8545454545,0.5204363636363636,0.00014367200000000002,0.14321272727272727,-8.024036363636364,0.09762363636363636,116.84376363636366,0.5327999999999999,48.32727272727273,0,1,55,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
11:11,0.174,0.478,252540.0,0.555,1.1e-05,0.10300000000000001,-7.6,0.111,128.72799999999998,0.139,57.0,5,0,2,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
12 Pianists,0.991,0.414,137733.0,0.0187,0.892,0.0513,-39.385,0.0557,74.477,0.195,52.0,7,1,2,[]
12 Stones,0.08026649999999999,0.3858333333333333,204280.16666666663,0.8888333333333334,2.733333333333333e-06,0.2492333333333333,-3.8869999999999987,0.0693,138.6921666666667,0.4506666666666667,50.33333333333334,5,1,12,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
1422,0.67,0.4663333333333333,42615.0,0.8746666666666667,0.11756823,0.391,-4.8839999999999995,0.21663333333333326,98.25366666666667,0.6583333333333333,36.0,7,0,6,[]
1776 Ensemble,0.8915,0.5894999999999999,193206.5,0.4025,0.0,0.4725,-11.3485,0.172,97.4035,0.5940000000000001,22.5,8,1,2,[]
1776 Orchestra,0.08,0.7390000000000001,113493.0,0.518,0.865,0.0917,-15.620999999999999,0.0979,120.939,0.222,19.0,11,1,1,[]
1788-L,0.0739,0.522,172344.0,0.539,0.0,0.0664,-5.7410000000000005,0.0418,95.97,0.139,46.0,1,0,1,"['brostep', 'edm', 'electro house', 'zapstep']"
18 Carat Affair,0.0318,0.599,98038.0,0.852,0.747,0.11900000000000001,-7.575,0.0629,99.12,0.87,48.0,7,1,2,"['chillwave', 'future funk', 'hardvapour', 'vaporwave']"
1910 Fruitgum Company,0.4185,0.757,140750.0,0.60525,0.0007778500000000001,0.12425,-9.72575,0.044725,128.4975,0.8995,24.75,9,1,8,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']"
1986 Omega Tribe,0.37801666666666667,0.6869999999999999,266824.33333333326,0.6208333333333333,0.004299419999999999,0.15556666666666666,-13.057166666666667,0.03243333333333333,123.03716666666666,0.8058333333333333,37.333333333333336,11,0,12,"['future funk', 'japanese city pop']"
1way Frank,0.735,0.7829999999999999,170867.0,0.38,1.58e-06,0.158,-8.507,0.0974,99.802,0.84,56.0,10,0,2,['florida rap']
2 Brothers On The 4th Floor,0.00328,0.701,263163.0,0.9790000000000001,0.308,0.41600000000000004,-4.8610000000000015,0.048,134.013,0.612,62.0,7,0,2,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']"
2 Chainz,0.11121448979591836,0.7710918367346944,253278.40816326533,0.6424183673469387,0.0006208470408163262,0.20355510204081648,-6.024755102040817,0.22056530612244907,125.02639795918371,0.4502571428571428,57.94897959183673,1,1,98,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2 Crows,0.00147,0.588,183554.0,0.7879999999999999,2.09e-05,0.37799999999999995,-5.5820000000000025,0.0341,96.007,0.382,0.0,7,1,2,[]
2 Guys n the Parque,0.0717,0.8140000000000001,93600.0,0.879,0.0,0.0401,-5.416,0.12,120.113,0.9620000000000001,48.0,11,0,2,[]
2 Hyped Brothers & A Dog,0.0782,0.9059999999999999,338533.0,0.382,3.21e-05,0.113,-13.632,0.282,126.073,0.63,27.0,9,0,2,[]
2 In A Room,0.0718,0.7809999999999999,244133.0,0.838,5.42e-06,0.0381,-13.943,0.0494,122.819,0.8490000000000001,29.0,2,1,2,"['hip house', 'latin house', 'vogue']"
2 LIVE CREW,0.05527785714285712,0.8840952380952375,229711.7142857143,0.6518571428571431,0.008597384761904761,0.404295238095238,-11.543666666666667,0.20082857142857136,126.13866666666664,0.6218571428571428,36.23809523809524,7,1,42,"['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap']"
2 Pistols,0.0043100000000000005,0.517,274053.0,0.747,0.0,0.345,-6.191,0.105,134.058,0.271,52.0,10,0,1,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']"
2 Unlimited,0.027919166666666672,0.7216666666666667,247916.0,0.9241666666666668,0.1390149,0.10303333333333337,-11.458166666666667,0.05975,129.4381666666667,0.7163333333333334,49.0,6,1,12,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
2* Sweet,0.0348,0.7879999999999999,1428097.0,0.687,2.0300000000000002e-05,0.14800000000000002,-13.304,0.152,102.345,0.897,45.0,1,1,2,[]
